remote-sensing inversion	DierssenImageDiffuse
9	6
Comments: 
02/13/17	19:19:05
Image	debug\gail_15bands_7cm_jun222016_utmz33_reg_clip_new_badpixsmsk_bil_quac_spatialsubset20cm.hdr
Transect	debug\BathymetryImageDierssen_gail_15bands_7cm_jun222016_utmz33_reg_clip_new_badpixsmsk_bil_quac_spatialsubset20cm.txt
Params	Default
Alpha	0.01
NIter	5
Width/Height	5
X	Y	RRS555	RRS670	Depth	T	
1855	555	1719.35	3289.18	0.130131	11.0199	
5	605	1502.52	2070.7	0.19885	11.4186	
55	605	844.013	1050.24	0.225875	12.2173	
105	605	1341.51	2333.12	0.147536	9.01698	
155	605	2159.5	3355.92	0.170697	7.96251	
205	605	2203.77	3159.19	0.1892	8.24	
255	605	2603.13	3093.26	0.239074	8.07313	
305	605	2482.35	3238.7	0.212972	8.48594	
355	605	2799.75	3777.71	0.204204	8.26699	
405	605	3239.36	3607.46	0.258773	9.65521	
455	605	2000.84	2933.95	0.183841	12.973	
505	605	2114.56	1345.3	0.493925	13.0418	
555	605	2210.81	1381.25	0.503821	8.8235	
605	605	2327.54	1403.73	0.523559	10.6154	
655	605	2422.81	1451.33	0.527414	11.698	
705	605	2459.87	1422.25	0.547968	9.99087	
755	605	2443.02	1448.7	0.533222	9.1926	
805	605	2229.57	1457.01	0.479593	9.54156	
855	605	0	0	-1.#IND	12.9171	
905	605	0	0	-1.#IND	11.6277	
955	605	0	0	-1.#IND	9.46401	
1005	605	0	0	-1.#IND	10.3752	
1055	605	0	0	-1.#IND	12.2724	
1105	605	0	0	-1.#IND	9.908	
1155	605	0	0	-1.#IND	7.9876	
1205	605	1525.71	1866.35	0.230691	8.85923	
1255	605	4913.58	4630.86	0.315939	8.13053	
1305	605	2303.94	3291.34	0.190034	11.3551	
1355	605	3221.95	4519.58	0.194466	10.6827	
1405	605	1503.02	2682.14	0.142645	13.2786	
1455	605	1399.66	2441.24	0.146983	11.2422	
1505	605	1277.9	2157.58	0.15335	11.6539	
1555	605	1367.33	2384.71	0.146994	8.10734	
1605	605	1597.15	2684.95	0.154216	10.3117	
